"Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Kinetic Energy (J/kg)","Specific Dissipation Rate (/s)","Total Pressure (Pa)","X (m)","Y (m)","Z (m)"
0.661362290343883,9.21884555213024e-08,2.9589980495283e-07,0.0151319393101134,0.144371655387419,256.284264910365,18000,4999.98999906972,-2.49499953479778
0.273520477344151,-5.55869078171987e-06,4.3313087471331e-07,0.00379396203735316,26.8186609600427,70.4787669385395,18000,4997.93804035993,-4.98999906970091
0.661691120813028,1.55093696278307e-07,4.59468128931089e-07,0.0151451256729294,0.14410165535031,256.50643932975,18000,4999.96525759322,-2.48262879638824
0.391336979123462,-6.66855665083296e-06,7.32528870981228e-07,0.00564928530404943,9.15483543350364,110.623524845623,18000,4997.92016133552,-4.96525759314243
0.231504061531351,-3.87552392461724e-05,-1.17155270642073e-06,0.00275903346084438,22.8519917491362,59.5704128232653,18000,4993.01523705175,-4.9899990698278
0.661741510200678,3.64872856442196e-07,8.48853624737577e-07,0.0151598506041143,0.143677428606605,256.540354677663,18000,4999.92879069784,-2.46439534846535
0.442011943574934,-6.98019496907165e-06,1.64529024242195e-06,0.00497067121729669,4.02018740696406,132.266437007311,18000,4997.89380912842,-4.9287906976808
0.329856895405361,-5.02719819592501e-05,-2.56033567056867e-06,0.00421724484614779,7.49801601178843,87.8662251971294,18000,4993.00883115667,-4.96525759358325
0.194104714204899,-3.03515613464024e-05,3.27860662112534e-08,0.00201753988112549,19.5310648915921,51.4140661448608,18000,4987.58082660126,-4.98999906984935
0.661418034124774,6.71793996090622e-07,1.67262572656631e-06,0.0151803741778922,0.14308378640856,256.320809003491,18000,4999.87504150228,-2.43752075034922
0.477136437707286,-7.18309824654949e-06,3.76011694928883e-06,0.00503183873184605,2.11003110768234,148.812463228643,18000,4997.85496814901,-4.87504150201469
0.369334377753428,-5.38662347654138e-05,-3.16672532948945e-06,0.00381438278688925,3.23832194394252,102.012370150055,18000,4992.99938939576,-4.9287906985843
0.274117488969857,-4.47896971150123e-05,4.2196475449755e-08,0.00334288273453945,5.99742835533399,70.6142425258646,18000,4987.57982169153,-4.9652575936581
0.167173494852465,-4.7722384327545e-05,-1.03703981682576e-08,0.0015834487419729,17.3008545268815,46.4277800726356,18000,4982.50927182903,-4.98999906984935
0.660533758537793,1.11263303390719e-06,3.13684977783995e-06,0.0152049634668846,0.142285560578945,255.72148428962,18000,4999.79581962195,-2.39790980967807
0.503670618561306,-7.41905632820592e-06,7.86405346958247e-06,0.00545432425569498,1.21678300064657,162.15049947931,18000,4997.79771974944,-4.79581962150688
0.395504410629469,-5.57300350239514e-05,-3.37950091144434e-06,0.00403408844432919,1.6795390964877,112.270438778823,18000,4992.98547301905,-4.87504150360017
0.302173747590598,-5.02582729449999e-05,8.08526700518191e-08,0.00316889971037248,2.61430632309753,78.9006382403389,18000,4987.57834053749,-4.92879069873772
0.233995510873983,-6.69209821591446e-05,-5.32971554869774e-08,0.00291186397434128,4.94353025098534,60.1663277395535,18000,4982.50915655322,-4.9652575936581
0.146537106050832,-5.14667386009497e-05,-9.18340086223206e-10,0.00130972542170301,15.7342773925195,43.1104540431928,18000,4977.50068654564,-4.98999906984935
0.658796265199133,1.71943680316196e-06,5.38977083974107e-06,0.0152300335799955,0.141252703952532,254.546421241796,18000,4999.67905310554,-2.3395265507332
0.523921428344764,-7.75839864376736e-06,1.45864435541276e-05,0.00609073051865915,0.753072452324663,172.815729677641,18000,4997.71334033105,-4.67905310484711
0.41434687009952,-5.67132277270814e-05,-3.63618342258779e-06,0.00455006692757868,0.968680515580883,120.090901502517,18000,4992.96496142779,-4.79581962409753
0.320315688564006,-5.40444179727336e-05,1.55035462979684e-07,0.00351779144956605,1.38065465633739,84.6883877719591,18000,4987.57615743861,-4.87504150386939
0.253983755174287,-7.27199321361064e-05,-8.95503551303918e-08,0.002875404863378,2.22807504904021,65.1651741598637,18000,4982.5089866462,-4.92879069873772
0.203487415856667,-7.1702297304025e-05,6.51894789443672e-09,0.00270477783199703,4.18058480912056,53.3266329014116,18000,4977.50067800988,-4.9652575936581
0.130548149710449,-5.15824465491057e-05,-1.09727334093152e-09,0.00113241634719782,14.6304844176172,40.8403745197117,18000,4972.5000476351,-4.98999906984935
0.655755896912684,2.44526216299534e-06,8.39099405451488e-06,0.0152471684781595,0.139957083496871,252.497808777376,18000,4999.50694889271,-2.25347444322782
0.539435743029811,-8.26239156268228e-06,2.39262797938746e-05,0.00689156258913155,0.49403734232686,181.27061481041,18000,4997.58897202901,-4.50694889164923
0.428382350855838,-5.70296518736824e-05,-4.07347107994012e-06,0.00524397421490684,0.605182860853381,126.152707458583,18000,4992.93472903431,-4.6790531089193
0.333189079189023,-5.69403337628878e-05,2.87981339963781e-07,0.00408639099793822,0.818408319230994,88.9999611383777,18000,4987.57293973094,-4.79581962453743
0.266968184406976,-7.65660494951285e-05,-1.3491433402906e-07,0.0032884354059182,1.21021745317419,68.6318572601307,18000,4982.50873621727,-4.87504150386939
0.21787412963172,-7.690762294266e-05,8.79070059928302e-09,0.0027512572987055,1.97912603920452,56.4334124866254,18000,4977.50066542887,-4.92879069873772
0.180146930972289,-7.13111536495543e-05,7.3315495900433e-09,0.00261478564162599,3.63614531889245,48.7380507892757,18000,4972.50004704286,-4.9652575936581
0.11829958916344,-4.9198183495069e-05,-1.39946998990487e-09,0.0010159917034483,13.8581810404142,39.2783785781015,18000,4967.50000264087,-4.98999906984935
0.650721207372933,3.09907819364409e-06,1.1826726581089e-05,0.0152366830636655,0.138340638569584,249.126281411805,18000,4999.25328148031,-2.12664073541596
0.550973655580791,-9.05694371134732e-06,3.50693259057383e-05,0.0078248904893512,0.341388090444896,187.717302329295,18000,4997.40566341124,-4.25328147869752
0.439218496057592,-5.67434743996817e-05,-4.76472503441792e-06,0.00607744477917306,0.402439968179986,130.970817791194,18000,4992.89016898028,-4.50694889790508
