"Iteration","row-01 Mooring-01: row-01 Mooring-01 (m/s)","row-01 Mooring-02: row-01 Mooring-02 (m/s)","row-01 Mooring-03: row-01 Mooring-03 (m/s)","row-01 Mooring-04: row-01 Mooring-04 (m/s)","row-01 Mooring-05: row-01 Mooring-05 (m/s)","row-01 Mooring-06: row-01 Mooring-06 (m/s)","row-01 Mooring-07: row-01 Mooring-07 (m/s)","row-01 Mooring-08: row-01 Mooring-08 (m/s)","row-01 Mooring-09: row-01 Mooring-09 (m/s)","row-01 Mooring-10: row-01 Mooring-10 (m/s)","row-02 Mooring-01: row-02 Mooring-01 (m/s)","row-02 Mooring-02: row-02 Mooring-02 (m/s)","row-02 Mooring-03: row-02 Mooring-03 (m/s)","row-02 Mooring-04: row-02 Mooring-04 (m/s)","row-02 Mooring-05: row-02 Mooring-05 (m/s)","row-02 Mooring-06: row-02 Mooring-06 (m/s)","row-02 Mooring-07: row-02 Mooring-07 (m/s)","row-02 Mooring-08: row-02 Mooring-08 (m/s)","row-02 Mooring-09: row-02 Mooring-09 (m/s)","row-02 Mooring-10: row-02 Mooring-10 (m/s)","BuoyancyPod-01: BuoyancyPod-01 (m/s)","BuoyancyPod-02: BuoyancyPod-02 (m/s)","BuoyancyPod-03: BuoyancyPod-03 (m/s)","BuoyancyPod-04: BuoyancyPod-04 (m/s)","BuoyancyPod-05: BuoyancyPod-05 (m/s)","BuoyancyPod-06: BuoyancyPod-06 (m/s)","BuoyancyPod-07: BuoyancyPod-07 (m/s)","BuoyancyPod-08: BuoyancyPod-08 (m/s)","BuoyancyPod-09: BuoyancyPod-09 (m/s)","BuoyancyPod-10: BuoyancyPod-10 (m/s)","BuoyancyPod-11: BuoyancyPod-11 (m/s)","BuoyancyPod-12: BuoyancyPod-12 (m/s)","BuoyancyPod-13: BuoyancyPod-13 (m/s)"
1.0,0.28628112648564813,0.6800466420734926,0.268714695621976,0.6922603085125464,0.7374995362630783,0.7370137804368899,0.6894955590815921,0.26874515651265257,0.6818867592813881,0.2877339271103879,0.36858974830974606,0.19580487991443282,0.4865903911449921,0.17003229528618125,0.5475144358721293,0.5472613049003703,0.16984089238834058,0.48607460475718645,0.19557593422368214,0.36820094001303,0.28476651013746657,0.2910437224946786,0.2869517649063144,0.2909181801982985,0.28627880374383785,0.19942690567732674,0.22387340347165863,0.22369367295209153,0.19922437475699242,1.2403272498019824,1.2385010743849185,1.1875942998453217,1.189321711133216
2.0,0.35250498961458876,0.7556554196232713,0.31587739988220226,0.7763286246532014,0.7836363158665631,0.7821453162829464,0.7753101041730296,0.31219459140857964,0.7511247307073388,0.3480580191565106,0.4388394670875767,0.22457249061942358,0.5434418375997709,0.2362100100164345,0.6004756089603192,0.6009401415722693,0.23737431501663608,0.5483213148222489,0.2305239573247405,0.449258562771643,0.3208549979663269,0.3416681113723377,0.3427390816848266,0.33897369189791804,0.31340524961055044,0.22755174111405654,0.24303832313134327,0.2439828193393873,0.2340003577008029,1.3816044731866284,1.4201910694120699,1.3662156395634528,1.3653842569289363
3.0,0.386482453936018,0.7871300236660048,0.3536383598787125,0.8043528738337679,0.7985531989657683,0.8001189160795668,0.8057903895879384,0.34440156617482437,0.7852116030760826,0.38289791070539103,0.49524995410170386,0.2403800296438304,0.5854881990480267,0.34555765573706415,0.6414702571458741,0.6420817080619674,0.3476180879213004,0.5910484272992932,0.24464731076515842,0.504436539197225,0.33127982872689005,0.3601945591856611,0.363862292603725,0.35640679200680586,0.3253646548109549,0.23990238637301595,0.2550156602275656,0.2557737237399783,0.24643291165107206,1.3968647680047481,1.4122542038798238,1.4128381642256163,1.41704774592539
4.0,0.4347171028612641,0.7983287647805197,0.3888078617402603,0.8015621746968783,0.7822842095390586,0.7855689835064803,0.8028765039550334,0.38008863957323996,0.7951204669631797,0.4292160627935915,0.5295159145208704,0.2527958602389867,0.6020092294614312,0.4116130854598439,0.6483177726886716,0.6482338800313628,0.41345988114554644,0.6067546467729299,0.2560835051891457,0.538064485435946,0.33796102332985034,0.37782199462131816,0.3848863050126291,0.3745274262294933,0.3321404149108972,0.24723486427490282,0.2618265269387562,0.2616064633138165,0.2532433096302393,1.380579070068872,1.387243751729791,1.4238635506321877,1.4300917542134617
5.0,0.4830925737313677,0.8263524243546421,0.4315225763747847,0.8123419469963289,0.7810905209057005,0.7845184432292563,0.8132731510066424,0.42461511736741353,0.8229747167224638,0.47771918729901763,0.5700795404458643,0.2802682220113308,0.6206709493499476,0.4769280439441937,0.6553902339939037,0.6550488803270004,0.4791432216306504,0.6249313707722572,0.28311871388275267,0.5780410842872239,0.36690106029828246,0.40919264541961686,0.41715066824022473,0.40586539851397463,0.36612892214086595,0.2679707796611782,0.28156069398069394,0.28089908224854265,0.27488729592301064,1.3452439516988726,1.3543223442428873,1.4460922765282886,1.4557387392997028
6.0,0.5288882602412883,0.8578055963102573,0.4682482121278402,0.8243173636401305,0.7833729850281683,0.7870276532598656,0.8253585346883111,0.4637080856867857,0.8545790001325498,0.5239414778757064,0.606731727532853,0.30944200094229196,0.6345637591932253,0.5324483472216134,0.6592202522911685,0.6585613046812592,0.5350466323965785,0.6377613374113625,0.3106576893177912,0.6133996695500373,0.4047643920207629,0.44175698640569505,0.4502367270231755,0.4404777602657435,0.40819119980151775,0.2952303261385517,0.30664467667273543,0.3059128509100092,0.30157558398009054,1.296821547757225,1.3142928847668174,1.4689485414977312,1.481190044059961
7.0,0.5670881980325982,0.8919094946186796,0.49923731718928466,0.8381201684336719,0.7865592228183025,0.7903675422782147,0.8392490465009352,0.49588881983147437,0.8890702551707689,0.562257334097221,0.6383013423803675,0.3340380698466833,0.6429712950490235,0.5773532082893752,0.6616393075690433,0.660596910953711,0.5797026899387347,0.6448721209092318,0.3333771451901354,0.6430239327873901,0.44210299225779515,0.4700338433955261,0.4784396168508808,0.470368136093832,0.4477432208106711,0.32055876124980553,0.3292742131798595,0.32771567190343615,0.3257301431623126,1.2508621828017767,1.2757397429819817,1.4885749672243846,1.5038199812700137
8.0,0.6019417401656921,0.9263982225762766,0.5251615651117547,0.8531930101115487,0.7908534834493846,0.7948229598505573,0.8545471012110695,0.5222390905880245,0.9242497882148515,0.5967512953477891,0.6642956512279707,0.3561709117773777,0.6459460020021551,0.6129759507176114,0.6643078490773316,0.6630965430433866,0.6149273805186629,0.6464684019600226,0.353871644274365,0.6664955315219937,0.4788056762636156,0.4945118935580761,0.5024745356553216,0.4964480526682805,0.4856618457941396,0.3439415252052312,0.3482681692363541,0.34626061302509215,0.34808540569194524,1.2192298846497767,1.2472471427108156,1.5014023321259937,1.519324101253331
9.0,0.6325796400987742,0.9592036643221291,0.5452504577748172,0.8692629231028581,0.7968403001323336,0.8010270346006498,0.8707265589811033,0.5423891906936855,0.9578034137972897,0.6266707850773847,0.6847458590903364,0.3754308325658928,0.6435040271305003,0.6411604344788692,0.6678085928645418,0.6663014534040801,0.6422233276381145,0.6429140071387334,0.37206226164315764,0.6840884202362747,0.511723689924634,0.5143265358460006,0.5212559007390722,0.5177104258407786,0.5184525036012839,0.36557166329814716,0.3658140781869683,0.36282085277921905,0.36860180571198087,1.2034863025078661,1.231465686962218,1.5076238025780866,1.5278242723632487
10.0,0.6581025455418483,0.988251127832501,0.5616021892529113,0.8854197080333606,0.805271984933365,0.8097501663875446,0.8872005293987191,0.5581690324938378,0.9876635079370721,0.6512741224433662,0.7006025312711155,0.39279832185538643,0.6365384507108169,0.6638877956727196,0.6727749138705108,0.6711663091641519,0.6638159862504859,0.6353441392108283,0.3895146576320349,0.6961917719247301,0.5376780949209116,0.5294787215238348,0.5347169875332951,0.533995941688109,0.5438893727866706,0.38635351950292296,0.382497323681773,0.37830631455690394,0.3883470498829942,1.2002834381337344,1.2259165575060709,1.5068392844284628,1.5303173442797355
