"Iteration","Thrust (row-1_turbine-1) Monitor: Thrust (row-1_turbine-1) Monitor (N)","Thrust (row-1_turbine-2) Monitor: Thrust (row-1_turbine-2) Monitor (N)","Thrust (row-1_turbine-3) Monitor: Thrust (row-1_turbine-3) Monitor (N)","Thrust (row-1_turbine-4) Monitor: Thrust (row-1_turbine-4) Monitor (N)","Thrust (row-1_turbine-5) Monitor: Thrust (row-1_turbine-5) Monitor (N)","Thrust (row-2_turbine-1) Monitor: Thrust (row-2_turbine-1) Monitor (N)","Thrust (row-2_turbine-2) Monitor: Thrust (row-2_turbine-2) Monitor (N)","Thrust (row-2_turbine-3) Monitor: Thrust (row-2_turbine-3) Monitor (N)","Thrust (row-2_turbine-4) Monitor: Thrust (row-2_turbine-4) Monitor (N)"
38.0,202668.98593630394,205195.80008433788,206717.2625668967,205317.67640826653,203304.05307129325,232843.8676369381,259018.08468760236,258478.84716869227,233220.9244117013
39.0,202316.71928800675,204525.04019835917,205949.19410684583,204657.60950115413,202948.24120449362,237983.411738523,260135.91986517113,259234.78616624197,238079.32640851365
40.0,201985.77280592348,203906.9550356915,205234.97359498983,204033.963297829,202585.5182936262,242494.7697204651,260977.88808627144,259762.64113889515,242321.43359771394
41.0,201644.2174581193,203285.84541112924,204506.83300191408,203411.01534331412,202222.82725947248,246280.73689974798,261607.94155942288,260125.20021261906,245855.81105728936
42.0,201318.42489125545,202735.7104010958,203867.7740808785,202853.74351256134,201874.94078417038,249152.15853834944,261954.38706987858,260278.36201286002,248559.56770944584
43.0,201002.60298170164,202174.36730552418,203206.63223703956,202300.42488136998,201533.7206113294,251162.08492217882,262071.63136901907,260272.2428805101,250508.98039369308
44.0,200679.4222286832,201661.19717421185,202602.2556541771,201779.4814584732,201195.04265295074,252400.9742312283,261901.95247700386,260039.79644891442,251725.9959214232
45.0,200372.28324771774,201168.7949030527,202027.96076200076,201285.63244697155,200863.69494566615,252907.32655367703,261461.6566182694,259578.33290493442,252252.429485003
46.0,200074.04428715078,200703.95759620398,201485.09837903874,200818.22503299153,200541.7596390237,252811.46220317297,260759.43093446363,258890.3358206601,252210.33033097564
47.0,199786.0426580417,200265.40636577795,200972.81635499338,200379.14371797652,200229.99136830142,252208.19085695688,259787.49828097795,257950.05804466555,251695.35964398994
48.0,199511.3591470573,199855.859008279,200494.78012171423,199964.60115919664,199934.7024806364,251243.08142038225,258568.81480274745,256764.11697353638,250792.8325517843
49.0,199232.26006906905,199451.71046919702,200028.65633335814,199557.46648558302,199628.64614757214,249917.74816029635,257067.60915985506,255312.2750591525,249553.88367642707
50.0,198965.89893228567,199076.3249676201,199589.77344718645,199173.7248920522,199338.1954572505,248366.80420593714,255357.04420499393,253651.0720209849,248066.20620224695
51.0,198704.25470033003,198721.00180090652,199187.0651834622,198817.1132281685,199058.84420873443,246614.00786692643,253452.44035716873,251801.8766271153,246387.68702937037
52.0,198452.55059920155,198379.51346863256,198799.25323038484,198475.78973132744,198787.6739524314,244742.77961914887,251440.8487226694,249847.61499554594,244589.03963415237
53.0,198203.46864655585,198048.82839967174,198424.5860192158,198140.54813207636,198524.31917276504,242805.30433857435,249344.3396026566,247811.9339512291,242720.8941820806
54.0,197966.25311815442,197745.83165671528,198085.31847140222,197837.94308062078,198265.06213884914,240768.09490822523,247121.1616587271,245660.9346307519,240741.1404440314
55.0,197749.64801752148,197463.5323957492,197764.3724287278,197544.02537711756,198032.23779100765,238873.51968593016,245082.7858911512,243680.20526544843,238914.69923458574
56.0,197539.74207139824,197185.13003128048,197453.0478608564,197265.27933111443,197802.33281906435,237007.74565728637,243046.83188516035,241712.7536753707,237098.6813366005
57.0,197337.20816046765,196926.18886387534,197160.94054373686,197003.0053625508,197584.03283864263,235187.98301288864,241020.4328852559,239750.28242841858,235327.7750186915
58.0,197144.82106669532,196664.4520189712,196874.7058872696,196738.36797760753,197381.98616170505,233594.55436467048,239247.57375284442,238036.3367118321,233783.44207604614
59.0,196885.43669900057,196346.36508372764,196523.80814623932,196419.39463259495,197101.4931458017,231811.85695284774,237220.62456156022,236069.35272712883,232019.71856379445
60.0,196690.11920943594,196113.14904559066,196267.8099121307,196179.352942036,196890.71794605043,230221.98501415126,235375.2162958614,234298.58979498356,230456.35627833934
61.0,196515.52377482934,195892.89578218432,196027.9670326268,195950.11803071195,196698.04727705332,228820.01536655205,233749.04762586445,232742.43545063707,229085.85180500208
62.0,196305.41562092165,195641.86749858773,195757.83590346316,195697.63839909126,196480.47543074322,227318.54737675094,232031.90400455438,231083.34538168577,227601.32637361303
63.0,196148.91840215828,195452.08015614495,195552.7299159747,195502.76336057342,196307.54442757223,225993.07254530332,230470.75548040593,229591.62847899715,226293.3772981329
64.0,196005.42150238418,195271.68133098522,195359.3880200331,195319.15792824217,196151.54185325917,224782.41075571993,229044.6534300308,228220.18420503737,225092.90400089836
65.0,195872.7048909903,195084.50692797534,195161.6356540141,195134.0845348398,196006.7002801846,223693.18527856405,227762.092769292,226992.6427959848,224017.12502915176
66.0,195740.20505874773,194902.5429377204,194954.98664982145,194938.2225277198,195864.05186515048,222651.58398634242,226520.0021155525,225800.44116049074,222973.16007332178
67.0,195628.85264513266,194742.10580695822,194783.41143026826,194783.80814293947,195740.32017577733,221668.24444812443,225321.81276700064,224650.8324908048,221978.70853883954
68.0,195513.9137155688,194577.14299877934,194599.8739945708,194617.61698770325,195620.56076422584,220775.57782732043,224231.13135393558,223607.5398958217,221079.85101440837
69.0,195428.84834874992,194453.49215462274,194462.55336648226,194489.027287853,195525.71281546677,219911.81622598064,223171.3597696108,222589.89566035592,220197.75379785025
70.0,195304.65149024257,194290.9078770542,194277.42427328334,194317.12203633023,195388.45674118935,218969.95132323392,222029.3251967692,221509.40095986062,219261.59122855487
71.0,195219.08462489277,194180.47243615377,194156.38290080894,194202.3365759283,195293.43200838484,218159.84498027974,221067.2434030264,220581.49094950926,218433.9774973872
72.0,195136.3281356989,194071.2714221233,194038.02267181274,194091.9452270572,195203.41517149954,217436.86907381486,220214.8196603771,219765.1259589643,217695.28756907693
73.0,195068.58097568087,193981.0540694038,193938.39374660933,193999.28679652602,195129.2311812946,216742.44809408614,219403.88668864063,218987.63384867855,216979.58428894178
74.0,195009.70323603347,193897.12014134313,193844.20839358668,193914.130051972,195064.67475294502,216111.91568175785,218687.55590390903,218301.46836397634,216339.0384339764
75.0,194963.11239627696,193826.759341871,193762.51549010875,193844.05554006743,195014.1152984013,215501.42563263915,218008.73344560695,217642.77475884656,215702.84312163462
76.0,194925.27005650444,193772.2999333993,193697.94608997856,193786.39326417772,194971.34915997623,214900.00730605033,217346.6884405872,217003.95944120828,215082.56334848088
77.0,194890.78880402655,193723.8748606586,193641.4085025125,193738.97713562055,194935.4743248239,214318.29986048647,216728.01597216056,216409.99469307123,214488.30778469576
78.0,194858.03208855423,193683.4811871575,193592.60201660387,193697.02000108856,194902.2545930227,213741.85882315418,216144.27808220196,215845.24741780915,213902.75793232681
79.0,194822.26913281635,193648.43502134958,193550.5907227705,193658.21153374107,194858.81395565212,213168.9450107976,215589.72159174382,215313.14250168542,213323.90006107098
80.0,194779.3011478318,193616.4195072606,193514.55933051236,193628.41713391963,194820.9985077088,212568.82319808658,215015.1580210087,214759.8030374198,212715.19618961186
81.0,194747.8971855467,193590.51227403717,193488.3085626779,193603.2496240546,194789.44735326146,211998.4799632884,214496.46426572488,214257.5029977067,212138.84003443032
82.0,194721.19089332604,193580.30333459948,193477.21618744687,193590.27861529752,194755.0439211254,211464.8376473348,214024.9311876815,213800.66836127444,211599.9894164293
83.0,194697.88152800876,193566.36306859803,193463.44238712988,193576.63914651028,194730.61266300714,210952.75770140195,213582.94155651814,213374.50094063103,211085.80593772163
84.0,194675.40792487035,193556.99674651894,193452.64916042128,193567.66655938048,194708.5408315622,210478.2085537273,213173.15829223202,212977.3932881207,210606.70049117156
85.0,194652.27208282475,193551.77336113004,193447.21423585387,193562.20552612812,194684.37487406057,210038.19985089859,212790.122619409,212609.8296541019,210165.6951260601
86.0,194632.8790112575,193554.37302363687,193451.61860913163,193563.06085477085,194662.8989007636,209612.09384173242,212417.3637367381,212250.06284240255,209739.8132676315
87.0,194614.7884899736,193558.86054810893,193459.82750620396,193568.5708586833,194645.12117924172,209224.1929909414,212062.77511799036,211910.87579010785,209342.3819604962
88.0,194596.638223013,193565.12367959728,193471.1387113445,193575.01414208434,194626.84831386805,208859.85321697965,211725.98717267287,211586.7652108633,208983.01173312572
89.0,194579.77301119795,193573.66740308222,193485.40218753845,193583.55285149222,194608.5279585151,208530.14099894225,211408.25222044525,211284.13717783423,208650.42239708343
90.0,194559.58334186397,193591.47831046686,193512.88631573156,193600.4166383267,194588.76321978064,208213.11122301326,211094.6801364225,210980.5611534742,208329.34628387008
91.0,194543.46005487547,193598.5582199837,193526.0646051161,193608.32768016163,194572.26104616854,207940.33807527454,210802.76144847623,210702.01174738165,208051.7464380314
92.0,194526.14978940776,193605.8306121181,193538.19908261468,193615.19226875316,194554.12404739147,207714.69693700492,210547.7443273714,210459.2134735133,207829.67873770295
93.0,194508.464837737,193615.84876876208,193555.2928657437,193625.85910101281,194536.93530308886,207515.82316567225,210314.8994506243,210236.58726723221,207628.58496559158
94.0,194494.4359030729,193629.89150450105,193576.72015039722,193638.70762399616,194522.02050972328,207348.17313742766,210098.8324928083,210032.0896084946,207461.49493913926
95.0,194480.45767781106,193643.0515064458,193598.15141678345,193652.44685912316,194508.44109679316,207207.11739108432,209900.09684825834,209845.62853846082,207317.1070709699
96.0,194467.9100155357,193657.9958564128,193622.03070395568,193667.72497504222,194496.06148460996,207095.54226252576,209719.5034869123,209673.57327208092,207197.11083842703
97.0,194451.6982527677,193677.07104078055,193653.48455317522,193686.75154225956,194478.08173866724,206980.9208993344,209528.29669620097,209492.34367107833,207078.69094219984
98.0,194439.06379944127,193686.96880693283,193671.08550176016,193696.85678432736,194464.6803651383,206899.532994102,209368.7270631306,209342.0038365608,206991.20871011855
99.0,194425.436750554,193695.9861812235,193686.87172575796,193705.3199063067,194450.78670625348,206846.15761337575,209231.81273758266,209212.80053485313,206933.5281574203
100.0,194410.78173597762,193705.08460963078,193704.07751736057,193714.274052787,194436.00855779529,206816.84399301297,209114.43166548136,209103.0605477379,206899.3038085146
101.0,194398.60459455918,193714.37940623815,193720.6747135594,193723.30447344505,194423.2505799807,206799.5684269464,209012.63078436,209007.91296595734,206876.8640589719
102.0,194386.10951897744,193725.47397979538,193740.14012447154,193733.78088676237,194410.73107468672,206801.20368345818,208923.9382939668,208925.81337882538,206874.50925947697
103.0,194376.08448167905,193735.2103711342,193758.15232015913,193744.43502020175,194400.7320817066,206810.50198479526,208850.4670653452,208857.3386021809,206877.96256188274
104.0,194366.19093260204,193745.88007904132,193778.00208841744,193754.7907458464,194389.99884380287,206833.253949553,208786.0487627663,208797.98262225135,206896.0915470344
105.0,194357.94648255708,193755.572671146,193795.65480855957,193764.49968650032,194381.01914841624,206861.39586632582,208736.16527240427,208751.22678014956,206918.58901704606
106.0,194349.36984861264,193764.99050506033,193812.95127949858,193773.42256275902,194371.10497374236,206899.43677028397,208691.18828148936,208710.94511195022,206951.36892391808
107.0,194341.8516157094,193772.62623162818,193827.8914797628,193781.20651057537,194362.97642431123,206939.85284477385,208659.60630091705,208680.83593321466,206986.76812093507
108.0,194333.44403888506,193779.86902577346,193842.4327097921,193787.87230885433,194353.69001438114,206987.62379938038,208628.67705003155,208653.56541702084,207031.4564218885
109.0,194325.96117799098,193786.15033475636,193855.22782126244,193793.71649377656,194345.24825837064,207038.54043374542,208608.30200508423,208635.8712948082,207077.8395829437
110.0,194318.71171474937,193791.41581454012,193866.8288762169,193798.66383405926,194337.3276803551,207091.66204217396,208594.13969676674,208622.86865669326,207126.65209440351
111.0,194311.7161002656,193795.6518483092,193876.8379084596,193802.63534754197,194329.43791647285,207147.8645745025,208584.24399534462,208615.00153711913,207179.0409639002
112.0,194305.70130862566,193799.14694803953,193885.3654657728,193805.79954085694,194322.47635090418,207203.20443216164,208582.20854301407,208613.89717065223,207229.97324129386
113.0,194299.04379523252,193801.65242355107,193892.89990157064,193807.94314955568,194314.8797280043,207261.83499884442,208577.57356751518,208610.66344848872,207285.76571707692
114.0,194293.89554090006,193804.07258821224,193899.34850617786,193809.86946005974,194309.18785387257,207316.52676090447,208586.28161154623,208619.47357460292,207336.78678617277
115.0,194287.7047229446,193805.15989116338,193904.86129317424,193810.43664663658,194301.88892769165,207376.26085060998,208584.6586928084,208618.65865378027,207393.5719501309
116.0,194283.45123504935,193806.33886770054,193909.47954243748,193811.18709216546,194296.88090979852,207429.0328836941,208597.36252826627,208631.10924267356,207443.96028334703
117.0,194278.64067210042,193806.46984252104,193913.03170092416,193811.10491594305,194291.23597231053,207484.1457180731,208602.1504863926,208635.77768356254,207497.57343231566
118.0,194274.33558257547,193806.06990164163,193915.612654873,193810.42559338393,194286.3327147849,207537.33353139984,208609.58185724117,208643.64405161524,207548.6121984424
119.0,194270.61429200164,193805.27308736808,193917.4904641842,193809.48365594842,194282.0022691336,207588.15555317583,208617.9298808555,208651.20575427392,207597.37552881535
120.0,194267.48958095553,193804.13969955035,193918.5660048811,193807.96761560228,194278.0218747841,207637.09787115152,208625.6858123635,208658.1908624519,207644.81103287952
121.0,194264.68286610968,193802.47012739175,193918.66685820592,193806.06066349882,194274.53066232248,207684.62433676654,208632.23685842176,208664.82816929222,207690.86022325902
122.0,194262.4014831102,193800.42548741208,193917.92208790878,193803.5607489936,194271.42778910362,207730.570695984,208638.73562112334,208669.7469558243,207735.36725712148
123.0,194260.48157805344,193798.03926577253,193916.56786476137,193800.89624422262,194268.73000098587,207774.89585686184,208643.50236345248,208673.36814092827,207778.22284774837
124.0,194258.950965029,193795.18326077203,193914.3264016185,193797.67066937685,194266.31947207748,207818.13225301978,208647.53958617488,208675.932356382,207820.1038178866
125.0,194257.73996865877,193792.19039770146,193911.75825367338,193794.50259687667,194264.52751367667,207859.6234005604,208649.6960947316,208676.93448615016,207860.1648103671
126.0,194256.96210546716,193789.14348398542,193908.67248212494,193790.93006293257,194263.08117807566,207897.7069143437,208650.29861603814,208676.5693396087,207898.86218770524
127.0,194256.2077124598,193785.5705398801,193904.972064472,193787.17489621128,194261.88612304704,207934.58330237737,208649.24847217795,208674.48575831525,207934.42150024866
128.0,194258.1600011502,193780.72942094505,193898.3509082647,193781.8343791103,194262.81272536403,207967.20078274576,208636.7083890153,208660.88486678406,207966.83086539694
129.0,194257.36594602655,193777.40831859913,193894.3548282513,193778.02690516753,194261.44730156448,207996.52819575003,208636.588970181,208658.39203045363,207996.3854649899
130.0,194256.17418969522,193773.7838229922,193890.30930121412,193773.91424065892,194259.72743997836,208025.97263400478,208633.14763156933,208653.39136596088,208026.36075718782
131.0,194254.90527726404,193769.76635274963,193885.9292470534,193769.66707122163,194257.88911100724,208052.50814576267,208626.60456278376,208645.44988194978,208053.91586033857
132.0,194254.13114988574,193765.4149354605,193880.89769461617,193765.2714946117,194256.58137474043,208078.4965824586,208617.61162390048,208634.84320168325,208079.64735928725
133.0,194254.04552331642,193761.11633970478,193875.54266617057,193760.80587313086,194255.8394137884,208102.74147382425,208607.02782723942,208622.21857514247,208104.03278519094
134.0,194254.40868486612,193756.19311922637,193869.03418783972,193755.7356879009,194255.86807306067,208126.69723689416,208592.28109613806,208606.34134756244,208127.8611000494
135.0,194255.13547515654,193751.80137311955,193863.1579270176,193751.2816577921,194256.47200524376,208148.31234762535,208582.28063680074,208594.4126274916,208149.39782580457
136.0,194256.17838693692,193746.73901951525,193856.15578817582,193746.21485871007,194257.2587295781,208170.47997132322,208565.86895960523,208576.6466211566,208171.63442925262
137.0,194257.27724682871,193742.82100641678,193850.5841026887,193742.09148713015,194258.08347342946,208190.19566831278,208556.73285905237,208565.54833330246,208191.46090587578
138.0,194260.0944928009,193738.21756425197,193843.26151252544,193737.28651960695,194260.6980376448,208210.21934063785,208539.56047755218,208547.21915984238,208211.28350184025
139.0,194261.18330788397,193734.87500422538,193838.29543133467,193733.76047029538,194261.54223484575,208227.66422637826,208529.93060184852,208535.9268241648,208229.1517033794
140.0,194261.85779373738,193731.17980040857,193833.12220679517,193729.92192785896,194261.87451894942,208243.9951833454,208516.59334597917,208521.44297013895,208246.90882980375
141.0,194262.7753560673,193726.85936948744,193827.16462349682,193725.6496389569,194262.53021625683,208258.34359340137,208496.7929473251,208500.7886373792,208261.6437478217
142.0,194263.70116490274,193723.43384911955,193822.12738445433,193722.0363087654,194263.31965698773,208271.27072124206,208483.6962538113,208486.3610250113,208274.95013548862
143.0,194265.07894409797,193718.44739586767,193814.70991675064,193717.28290789903,194264.7986964536,208282.66995741366,208462.0020920341,208463.99979801688,208286.0885335627
144.0,194265.94242142778,193715.25405860125,193809.9971356829,193713.95755541918,194265.54642057695,208292.9176803687,208449.6860770323,208450.4778049547,208296.6581921124
145.0,194266.4150074457,193711.87720123405,193805.01230915642,193710.52927223523,194265.82820118027,208303.6983054207,208434.10829984338,208433.8540290499,208308.2147742592
146.0,194267.0447616224,193708.49053897304,193800.03280509615,193707.1019108292,194266.37070379284,208313.2483513651,208417.58767931914,208416.65478290818,208318.24599725925
147.0,194267.96149867357,193705.0944906564,193794.91365686042,193703.65022921565,194267.09080376214,208322.28504065343,208401.11621661554,208399.51710915202,208327.33298714226
148.0,194269.01937053358,193701.8391655728,193789.97238915367,193700.35093390977,194268.0411993916,208330.51944825426,208384.9587166378,208382.67304103082,208336.12360680883
149.0,194270.38553228008,193698.810122779,193785.1385219723,193697.26291823125,194269.19194974247,208338.66922758234,208369.2676169026,208366.31632639325,208344.18575764186
150.0,194273.12688973476,193695.3993252512,193778.97881668812,193693.84681963938,194272.04423167114,208346.8568530011,208353.21882245402,208349.67346257376,208351.4692974767
151.0,194274.1433870246,193693.0572927929,193775.20152720617,193691.39920538396,194273.07751121683,208353.60566994097,208340.1040401273,208335.9562273614,208358.57469273586
152.0,194274.84949358745,193690.6503385048,193771.5101019899,193688.99748592178,194273.68913466186,208359.81026616157,208325.82130956245,208321.3978796497,208365.19427128436
153.0,194275.4015060506,193688.32410102675,193767.98867279873,193686.70508727277,194274.1989780332,208364.59460663178,208310.77153724636,208306.16643011937,208370.28645080357
154.0,194275.95343591127,193686.06202613944,193764.59062223957,193684.5273851712,194274.6022556534,208368.35405321157,208295.74788372315,208290.8508672306,208374.58190296454
155.0,194276.48301755867,193683.764029646,193761.04439232027,193682.2496763003,194275.1423004583,208371.40342251572,208280.67200824112,208275.58706445125,208377.97074560574
156.0,194277.09725738922,193681.53691473903,193757.5659833859,193680.06081276413,194275.7699411931,208374.23842344288,208266.17575241602,208260.97835437694,208381.0619386516
157.0,194277.66525984445,193679.32830300185,193754.09366643603,193677.88462074124,194276.4057100568,208377.23330723587,208252.34045444237,208247.07950407217,208384.09574829024
158.0,194278.360736395,193677.30400717567,193750.77928173819,193675.9943189209,194277.21400736697,208380.3051049342,208239.7234057316,208234.22763116783,208386.97651714733
159.0,194279.092557724,193675.5118695903,193747.78806822983,193674.227312487,194277.9695718345,208383.17318070028,208227.9684715132,208222.31581544236,208390.0013362154
160.0,194279.89225115624,193673.9853513409,193745.1251626975,193672.6798817639,194278.86249567618,208386.27154751547,208216.8830132478,208211.26721810977,208392.891069357
161.0,194280.67441955596,193672.65124966117,193742.83563908585,193671.4531318484,194279.7201300262,208389.26899528538,208206.73140507552,208200.829309964,208395.66997784487
162.0,194281.36987772628,193671.5892249241,193740.9756474687,193670.41157375314,194280.47294384564,208391.58679612773,208197.82444194448,208191.74078670974,208398.04073235154
163.0,194283.10295717858,193671.00208117333,193739.17388292687,193669.84129176612,194282.32297249042,208394.2373013232,208188.93294072011,208182.9931325074,208400.84298169834
164.0,194283.9652449828,193670.31317724986,193737.70772551643,193669.18415254634,194283.23152088936,208396.2518822793,208180.66964486596,208174.72004158582,208402.85870960832
165.0,194284.27522155928,193669.53136977792,193736.32706639828,193668.4527715043,194283.66350667892,208397.48187987774,208169.58800025212,208163.86928378555,208404.0593913379
166.0,194284.70271735123,193668.92256338772,193735.20418737532,193667.90816614064,194284.1748076599,208397.99149859545,208160.931012146,208155.32504489555,208404.44736693427
167.0,194284.70767103697,193667.998665939,193733.7576716299,193667.06755168864,194284.08770386825,208397.98652937578,208150.43294911395,208144.9325364249,208404.16891577502
168.0,194284.65657822238,193667.32232850112,193732.6962116155,193666.43510665128,194284.07228331693,208397.4889275644,208141.78518683277,208136.38516208154,208403.35235116928
169.0,194284.44554475494,193666.4077746067,193731.2905206775,193665.61041861447,194283.8403231345,208397.0593480115,208132.6505808537,208127.46944052156,208402.6407247943
