"Iteration","volume avg. inflow (row-1_turbine-1) Monitor: volume avg. inflow (row-1_turbine-1) Monitor (m/s)","volume avg. inflow (row-1_turbine-2) Monitor: volume avg. inflow (row-1_turbine-2) Monitor (m/s)","volume avg. inflow (row-1_turbine-3) Monitor: volume avg. inflow (row-1_turbine-3) Monitor (m/s)","volume avg. inflow (row-1_turbine-4) Monitor: volume avg. inflow (row-1_turbine-4) Monitor (m/s)","volume avg. inflow (row-1_turbine-5) Monitor: volume avg. inflow (row-1_turbine-5) Monitor (m/s)","volume avg. inflow (row-2_turbine-1) Monitor: volume avg. inflow (row-2_turbine-1) Monitor (m/s)","volume avg. inflow (row-2_turbine-2) Monitor: volume avg. inflow (row-2_turbine-2) Monitor (m/s)","volume avg. inflow (row-2_turbine-3) Monitor: volume avg. inflow (row-2_turbine-3) Monitor (m/s)","volume avg. inflow (row-2_turbine-4) Monitor: volume avg. inflow (row-2_turbine-4) Monitor (m/s)"
1.0,0.9848386384977248,0.7478023824097265,0.7290649822490067,0.7611312489375587,0.9791875429764278,0.6889525654371405,0.5386161944769186,0.5403288699097509,0.6904158191938156
2.0,1.0410792253895838,0.8008957752356011,0.7815333550425833,0.805247351071446,1.0395972119844887,0.7467159844817418,0.5878733648676152,0.5885558126653914,0.7469981828134545
3.0,1.0681955320255985,0.8536487834792557,0.8320202169137199,0.8540234173107208,1.06863171079597,0.7816670746194034,0.633644304132054,0.6366705903711708,0.7823115293069086
4.0,1.0893294550579236,0.9014598931808546,0.8802447878634861,0.9034305767549348,1.0917814920592992,0.7874701460475941,0.6639621141615095,0.6686139900344118,0.7901538587770384
5.0,1.1037066430971878,0.9395800199100263,0.9193488053736308,0.9417063910108043,1.1067640294272807,0.776339763312939,0.6940696781101894,0.70101030126456,0.7805321408839768
6.0,1.1091519317755292,0.971042007611422,0.9531791936274315,0.9730126665659602,1.1122589984291784,0.7541527902548449,0.7232511133082988,0.7332873950958216,0.7589303679439018
7.0,1.1131210094133104,0.9989895729630403,0.9838243189263859,1.0009152270131543,1.1161651853359962,0.7375315373187808,0.7616565750949175,0.7733216137213044,0.739534819774118
8.0,1.1160037731791388,1.0233545900927388,1.011409251367758,1.0253041743735216,1.1188386931158196,0.7354195934653784,0.811397607776888,0.8226598643189168,0.7324557876326067
9.0,1.1164253765416505,1.0440438949227924,1.035143347823995,1.0457802601888362,1.1189016330430088,0.7491594402542451,0.8686609738141086,0.8780885655005141,0.7407485219632314
10.0,1.1145321213140127,1.0602753832567193,1.0538869135640796,1.061644875277296,1.1167204719854387,0.7685658323583893,0.9335302757678348,0.9398540015955097,0.7560778046410255
11.0,1.110096723494784,1.0715470999884684,1.067020439805028,1.0725815340345315,1.1120209521785263,0.7792012460689952,1.001952754427233,1.0037783084671799,0.7634387976302444
12.0,1.1041125495830606,1.0781542775853972,1.0750165481554665,1.0788851037956808,1.1058696103837804,0.7729868676298656,1.0674344430591318,1.0646327532205964,0.753635306141775
13.0,1.0974644053460723,1.0806206386456034,1.07890689064407,1.0810420616641714,1.0990288523271963,0.7534271456137366,1.1225989436947295,1.1157945993433676,0.731388741817623
14.0,1.0902987187959325,1.080382118840095,1.0797852642312673,1.0804790668331277,1.0920817106989353,0.7297920895465076,1.1577233937275455,1.1488876572865276,0.7066557155612383
15.0,1.0818533970275281,1.0775976064815915,1.0779215818427694,1.0775921453117236,1.0836782542635228,0.7126715105323379,1.1688402892130003,1.160641139242075,0.6899084262554087
16.0,1.0745456535322755,1.0741268171080682,1.0752761438635148,1.0741376490124364,1.0766885340134797,0.706261453859962,1.162516417809955,1.1576491294089901,0.6856978303563981
17.0,1.0686626092114468,1.0711266414782619,1.0729136589922599,1.0710828600507012,1.0709346799132724,0.711067555755461,1.144199235395037,1.1430155073047286,0.6927420274605564
18.0,1.0638512973446352,1.0684301341586073,1.070524810677096,1.0684073842823039,1.0661355103163814,0.7248911223542532,1.120882376851961,1.1237093642068825,0.7092745847120133
19.0,1.0590867667111628,1.0657233395094219,1.0681896862252191,1.065758323963716,1.0613444072810545,0.7441338928206835,1.1005909936448188,1.1062980158933982,0.7310445576187653
20.0,1.0552408839251117,1.0636653424806057,1.0664577925924457,1.0636813473423383,1.0574815344549875,0.7687580328949994,1.0873603471818751,1.0949631903594512,0.7578037342091335
21.0,1.0517718313427409,1.0616398036177657,1.064772826251373,1.0616745719540028,1.053956210763241,0.7965837184890142,1.0819428427905156,1.0905843636780512,0.7875563189160418
22.0,1.0487821320809514,1.0598057338607134,1.0632921677656517,1.0598833371813754,1.0509184831328748,0.826670931288369,1.0830286174419796,1.0922511688128782,0.8190253420036416
23.0,1.046093615315661,1.05791224846121,1.061749731617927,1.0580436380017688,1.0482204517695484,0.8567439856266716,1.0877750792016505,1.0969697007021775,0.8502449516043793
24.0,1.0436294292701158,1.056027486267627,1.0601727137669754,1.0561933515895938,1.045741042435513,0.8853952232156228,1.09454312440369,1.1034831364528643,0.8799787623548466
25.0,1.041423016845153,1.05409313805075,1.0584678953427789,1.0542659443573854,1.0434481682449368,0.9109896958281611,1.1015758001818026,1.1101757704921507,0.9067842758220955
26.0,1.0394418773067724,1.0522445134561926,1.0568315580709537,1.0524948125233637,1.041511625879461,0.9338739899055774,1.1084065014684212,1.11647540596983,0.9307011898956509
27.0,1.037639695238353,1.0503354247684518,1.0550235920731337,1.0505771040614011,1.0396480297385495,0.9537177582493888,1.1148072679627095,1.1223071985291797,0.9517998268191271
