"Iteration","Torque (row-1_turbine-1) Monitor: Torque (row-1_turbine-1) Monitor (N-m)","Torque (row-1_turbine-2) Monitor: Torque (row-1_turbine-2) Monitor (N-m)","Torque (row-1_turbine-3) Monitor: Torque (row-1_turbine-3) Monitor (N-m)","Torque (row-1_turbine-4) Monitor: Torque (row-1_turbine-4) Monitor (N-m)","Torque (row-1_turbine-5) Monitor: Torque (row-1_turbine-5) Monitor (N-m)","Torque (row-2_turbine-1) Monitor: Torque (row-2_turbine-1) Monitor (N-m)","Torque (row-2_turbine-2) Monitor: Torque (row-2_turbine-2) Monitor (N-m)","Torque (row-2_turbine-3) Monitor: Torque (row-2_turbine-3) Monitor (N-m)","Torque (row-2_turbine-4) Monitor: Torque (row-2_turbine-4) Monitor (N-m)"
38.0,12677.007115666574,12923.632005035834,13071.398491813321,12935.488965652185,12739.135798917017,15528.726203757164,18314.935760462504,18258.853160464027,15563.150345024762
39.0,12642.502801286635,12858.312708301228,12996.870959485175,12871.230939587414,12704.338676486506,16082.035394111415,18431.00863506291,18337.457006524444,16092.4365498646
40.0,12610.059370990595,12798.027914068089,12927.44345594407,12810.423096203176,12668.834224539565,16569.00403440101,18518.271432907197,18392.276243914945,16550.37787035657
41.0,12576.548009898885,12737.355895731635,12856.53817851777,12749.590363151472,12633.301055439402,16974.18189402114,18583.47889956023,18429.896723762915,16928.862039677468
42.0,12544.55670568606,12683.539355078414,12794.203327030706,12695.092009493208,12599.18830974303,17279.408486584958,18619.300815033283,18445.78147313454,17216.56206040849
43.0,12513.519721500277,12628.550974242678,12729.611424619688,12640.906046029004,12565.700639095518,17492.01297860918,18631.418315886953,18445.146934152304,17423.023124173957
44.0,12481.734270614017,12578.214628727947,12670.473229779866,12589.82269814665,12532.434381447838,17622.63507658707,18613.880685667194,18421.037276432886,17551.508756688243
45.0,12451.502798724661,12529.855055837445,12614.196630846029,12541.335205911568,12499.860985729032,17675.92980793453,18568.34613639815,18373.141654305808,17606.99025013109
46.0,12422.125139372525,12484.148269924055,12560.926497201846,12495.388931815976,12468.187106302543,17665.843970561284,18495.643779701328,18301.65471749301,17602.555501702027
47.0,12393.73507952991,12440.977542408711,12510.591220240854,12452.178323168873,12437.489246194542,17602.330118412854,18394.856352780727,18203.800305620327,17548.278172819297
48.0,12366.638770135418,12400.61917929579,12463.562858542015,12411.339081113143,12408.391932706716,17500.56267498354,18268.214180284045,18080.124722501467,17453.01853301
49.0,12339.087747483081,12360.75222491241,12417.652333473583,12371.18835831933,12378.210895711698,17360.491357453313,18111.801520020606,17928.329640910943,17321.97034736546
50.0,12312.776113283944,12323.68633527324,12374.375896739406,12333.307047598366,12349.547341027697,17196.10261658424,17933.016858682226,17754.113922325156,17164.18201028232
51.0,12286.913248217832,12288.569166947978,12334.62455623014,12298.071115665609,12321.959417657115,17009.69903921431,17733.244584817745,17559.50950077518,16985.582337306125
52.0,12262.016844123627,12254.789680680966,12296.305580965538,12264.316121319123,12295.160878983661,16809.967011906785,17521.432476264174,17353.068800202273,16793.523102887237
53.0,12237.364232384192,12222.051079588506,12259.24985292256,12231.13429019739,12269.117184362975,16602.356462055046,17299.77391541993,17137.165627246846,16593.292651698117
54.0,12213.871662700178,12192.029652851086,12225.665025369719,12201.158642564355,12243.461823274947,16383.162212256102,17063.701033065372,16908.064656702347,16380.25582512314
55.0,12192.40792745286,12164.038236047465,12193.867364951015,12172.021567941487,12220.407849524765,16178.47977948,16846.31545913556,16696.208975646907,16182.937279786722
56.0,12171.59678869047,12136.413587540861,12162.998255004037,12144.368452386849,12197.629628988157,15976.11293914977,16628.282541614037,16484.918102941534,15985.994518105133
57.0,12151.50605311172,12110.702455835773,12134.012448768644,12118.33158698185,12175.988920960215,15777.96674257201,16410.36286279343,16273.302429728306,15793.21525871996
58.0,12132.412287451472,12084.696524857274,12105.588522673548,12092.042501072343,12155.948780476832,15603.833768247761,16218.955329604478,16087.774930944859,15624.506791794782
59.0,12106.654496340758,12053.068364150462,12070.715122151094,12060.332137915753,12128.110851569967,15434.363747685278,15999.242572023326,15874.030835965394,15453.386577230875
60.0,12087.247559193442,12029.86282174761,12045.253482489094,12036.451668288697,12107.179112351088,15288.58034927931,15798.389123793684,15680.845230824045,15310.10264351297
61.0,12069.891416860566,12007.934416958597,12021.383567354527,12013.632647782455,12088.035487583244,15159.607857344698,15620.74307629369,15519.460988999457,15184.093492440314
62.0,12048.994795811963,11982.926995665603,11994.481755848974,11988.484276572497,12066.406408922809,15021.042581049473,15454.501484944049,15367.625185257311,15047.174221767718
63.0,12033.422853227712,11964.009727230292,11974.043250870833,11969.062532778677,12049.206575602202,14898.337774547908,15311.424563647166,15230.640266009861,14926.169759811477
64.0,12019.139013870477,11946.019742632432,11954.767190892493,11950.755076912566,12033.683945729292,14785.946433550831,15180.29972872333,15104.306288843112,14814.799799301556
65.0,12005.923595247357,11927.345276733595,11935.041527072548,11932.29252764134,12019.266327934056,14684.569293348013,15062.023415571088,14990.90550251083,14714.745008882612
66.0,11992.725289854956,11909.182054579482,11914.417734409577,11912.74417716411,12005.061803982528,14587.3932158401,14947.160910349128,14880.475114236357,14617.41886465146
67.0,11981.630018901438,11893.160549503513,11897.28602569806,11897.325645992438,11992.736758601295,14495.443564478619,14836.058962526302,14773.713172477597,14524.496316490466
68.0,11970.174066971298,11876.680211139319,11878.951529359087,11880.724345906841,11980.803680739391,14411.79549943146,14734.668195521797,14676.587577047296,14440.326661778161
69.0,11961.693438842281,11864.322489383068,11865.22820459072,11867.874289553492,11971.350237383615,14330.69464249166,14635.914026417726,14581.630878037333,14357.559707331893
70.0,11949.308260286976,11848.067753623534,11846.719393682055,11850.689034626514,11957.665933136714,14242.078469637632,14529.231016123067,14480.571356590754,14269.538024869715
71.0,11940.77305365292,11837.0228332088,11834.61316166907,11839.209769301953,11948.189235193933,14165.706126409425,14439.144858802843,14393.586028153633,14191.56569368032
72.0,11932.516397227933,11826.098278096539,11822.771435895906,11828.166737881305,11939.209838937786,14097.427962176396,14359.162566006198,14316.905673072059,14121.846154098694
73.0,11925.75592401424,11817.070541584602,11812.800939551002,11818.895196592039,11931.808248921516,14031.739431868165,14282.929313327468,14243.743901221615,14054.183086438563
74.0,11919.87957339178,11808.669677762733,11803.372857614644,11810.372329966125,11925.366087124394,13972.003081280494,14215.47187964062,14179.067824578784,13993.530629096787
75.0,11915.22889929763,11801.62593202095,11795.193429365914,11803.357554906497,11920.319954394396,13914.082330343419,14151.444462443375,14116.885347695978,13933.201052560004
76.0,11911.451086528952,11796.17317892257,11788.727254745352,11797.58434849293,11916.051129377163,13856.941878953287,14088.903294689633,14056.489366162623,13874.2948900386
77.0,11908.008492441684,11791.323969751995,11783.064523881305,11792.83635247492,11912.469818023834,13801.597925020153,14030.373113005771,14000.253809854012,13817.780338904664
78.0,11904.73779296193,11787.278547769538,11778.175464296746,11788.634505560578,11909.153265948056,13746.680777513844,13975.071202999632,13946.712798138162,13762.016979424254
79.0,11901.166611425571,11783.768335864694,11773.966600736974,11784.747579965795,11904.815864202774,13692.026141733744,13922.464560023616,13896.20224029051,13706.815738926387
80.0,11896.875523195953,11780.561394995208,11770.356463849279,11781.763208431865,11901.039724575743,13634.69700050691,13867.88848163284,13843.609638179616,13648.687355864691
81.0,11893.739000647465,11777.966116131785,11767.726076993797,11779.242112603693,11897.888838088606,13580.137429934057,13818.55656213429,13795.809340569613,13593.571217177396
82.0,11891.071466410416,11776.943379281227,11766.614541975665,11777.942708379916,11894.452814910175,13529.02211454139,13773.658144132827,13752.28691643874,13541.973825847492
83.0,11888.743081487042,11775.546792588415,11765.234264657884,11776.576292432932,11892.01257240458,13479.911408584976,13731.527801249098,13711.644146183025,13492.677050377746
84.0,11886.498049146636,11774.608411997253,11764.152637277435,11775.677383183882,11889.807862318688,13434.346755743516,13692.428347173183,13673.736154066937,13446.689203796419
85.0,11884.186725964151,11774.085088548007,11763.60797284489,11775.130265069638,11887.393830762096,13392.05258482412,13655.84697157026,13638.616890758556,13404.312146469998
86.0,11882.249208086969,11774.34554586765,11764.049360509689,11775.21595738355,11885.248386295763,13351.052455965631,13620.215400823146,13604.213132466914,13363.346057540031
87.0,11880.441737928886,11774.795141878996,11764.872008033199,11775.767980408145,11883.47230662433,13313.692145746376,13586.291637322185,13571.750624261618,13325.07907739317
88.0,11878.628213889922,11775.422623638615,11766.005522049247,11776.413494609973,11881.646675063997,13278.569501617603,13554.04457011311,13540.706721594703,13290.445510191046
89.0,11876.943013070084,11776.27857373882,11767.43484058545,11777.268920499875,11879.81621265834,13246.758530845811,13523.598253146687,13511.698954972111,13258.366318409564
90.0,11874.925530594348,11778.062892764578,11770.188829279676,11778.95831467839,11877.841339193843,13216.147418028715,13493.528363966605,13482.579412603,13227.373313058502
91.0,11873.314312090428,11778.772144144265,11771.509262320447,11779.750808086648,11876.19238113219,13189.79086406685,13465.514812410278,13455.842006127703,13200.557725255996
92.0,11871.584403052617,11779.500664535099,11772.725068102769,11780.438459271627,11874.379984541498,13167.975329224504,13441.026566581364,13432.521840365243,13179.093531568888
93.0,11869.816969990903,11780.504222659078,11774.437703417021,11781.506971021001,11872.6622671859,13148.737889226013,13418.654457204899,13411.127310389844,13159.646686176135
94.0,11868.414861836303,11781.910894934172,11776.584407626298,11782.793986704677,11871.1717302748,13132.513609862584,13397.88330153098,13391.464948768982,13143.481010982152
95.0,11867.017771420877,11783.229096682044,11778.7313917533,11784.170176272932,11869.814597270131,13118.857895435245,13378.76881151475,13373.52844136265,13129.50647974835
96.0,11865.76361955782,11784.725977356857,11781.123478436424,11785.70045033452,11868.577331585784,13108.052924928172,13361.391395321545,13356.97061125305,13117.888976662416
97.0,11864.143177062053,11786.63653347833,11784.274114842872,11787.606089187919,11866.78029694708,13096.949920641464,13342.984544912077,13339.522525920067,13106.4207844597
98.0,11862.88025669651,11787.627849168552,11786.037036534388,11788.618159135905,11865.44080609657,13089.064265872126,13327.616860991717,13325.042652125601,13097.946593649762
99.0,11861.518071962248,11788.530966695456,11787.61812607698,11789.465745548681,11864.052061661769,13083.891894657289,13314.42636833323,13312.5943679213,13092.358237996155
100.0,11860.053076552173,11789.442180703325,11789.34132075946,11790.362488155995,11862.57485330977,13081.050957549964,13303.114291941405,13302.018282384202,13089.042057941007
101.0,11858.835740838866,11790.37303900021,11791.003490772733,11791.266848474186,11861.299533903599,13079.376597174254,13293.301112360467,13292.846276367094,13086.867601620328
102.0,11857.586581903255,11791.484112665354,11792.952814877925,11792.315992698079,11860.04801207766,13079.535090419988,13284.74957604137,13284.930386435219,13086.639410022766
103.0,11856.584328813487,11792.459143998509,11794.75652234628,11793.382905298116,11859.048426191293,13080.43629365332,13277.664263977462,13278.326984202124,13086.974051484667
104.0,11855.595195884376,11793.527612270853,11796.744143655853,11794.419906976585,11857.975410179664,13082.641357575332,13271.450958060159,13272.602080994384,13088.730790663281
105.0,11854.770916604202,11794.498206286213,11798.5116818167,11795.392115696668,11857.07767534749,13085.368634258371,13266.638911596066,13268.09189135072,13090.91073862632
106.0,11853.913407032394,11795.441263363064,11800.24347114567,11796.285590028827,11856.086492893146,13089.054941849452,13262.299680466349,13264.205811697193,13094.086816317209
107.0,11853.161703001764,11796.205851843857,11801.739279288453,11797.0650032259,11855.273811753386,13092.971040687364,13259.252475749368,13261.300853905423,13097.51639677106
108.0,11852.321061440598,11796.931080869226,11803.195087228974,11797.732442712422,11854.345348497787,13097.59929383128,13256.268026192021,13258.669591442427,13101.84551416024
109.0,11851.572863384332,11797.560024330136,11804.476035762596,11798.31760544966,11853.501315191392,13102.531725056047,13254.30186032671,13256.962238676522,13106.338324000553
110.0,11850.847988592353,11798.087245594088,11805.637407918855,11798.812962608677,11852.709374212483,13107.6771107358,13252.935158982442,13255.707533436187,13111.065903793431
111.0,11850.148483336376,11798.511385420668,11806.639376020667,11799.210609595164,11851.920498125179,13113.120196883228,13251.98016926066,13254.948367235465,13116.13923974394
112.0,11849.547042402017,11798.861334516296,11807.493018583289,11799.527420893337,11851.224416752837,13118.479012557731,13251.783734078153,13254.84179624723,13121.070903642867
113.0,11848.881322513465,11799.112194909008,11808.24723007043,11799.74204583316,11850.464822259068,13124.15570117998,13251.336423411796,13254.529741530787,13126.472473756265
114.0,11848.366513570436,11799.354512021117,11808.892736118247,11799.934913171304,11849.895675903485,13129.450304801154,13252.17681230615,13255.379914451887,13131.411461117346
115.0,11847.747442557138,11799.463376896721,11809.444558195315,11799.991701220926,11849.165823717922,13135.23224745886,13252.020190306695,13255.301275740214,13136.907714112978
116.0,11847.32209545493,11799.581420128005,11809.906832284272,11800.066837454015,11848.665041730677,13140.339606302648,13253.246175089233,13256.502723259553,13141.784185049743
117.0,11846.841035446218,11799.594533762946,11810.262389856856,11800.058609798885,11848.100562553544,13145.672817073635,13253.708227717045,13256.953205684298,13146.972095337875
118.0,11846.410518115503,11799.554490342849,11810.52073149934,11799.990594541201,11847.610242794146,13150.819073088966,13254.425367259055,13257.712261515491,13151.910270315766
119.0,11846.038377968425,11799.47471050823,11810.708690508844,11799.896285513016,11847.17719837157,13155.73580696969,13255.23095004687,13258.44190551659,13156.627721194422
120.0,11845.725894794228,11799.361231470672,11810.816346164533,11799.74449544663,11846.779154806703,13160.470120865451,13255.97938159058,13259.115900985696,13161.21618349239
121.0,11845.445210324306,11799.194067041315,11810.826441009085,11799.55356539008,11846.430026575847,13165.066941112646,13256.611533298528,13259.756326514977,13165.670044905315
122.0,11845.217059973447,11798.98934829708,11810.751893683922,11799.303264641712,11846.11973040734,13169.510430780061,13257.238630035601,13260.230927567623,13169.974279644688
123.0,11845.02505828604,11798.750427461706,11810.616343186537,11799.036482727117,11845.849941891922,13173.796667434235,13257.698589613241,13260.58032281603,13174.11836849847
124.0,11844.871987388005,11798.464467551139,11810.391983668344,11798.713521555383,11845.608878740175,13177.977179630234,13258.088151187114,13260.827732993628,13178.167799174878
125.0,11844.750879730746,11798.164802348707,11810.13492299882,11798.396315194532,11845.429674304087,13181.988534909418,13258.296236470112,13260.924423795725,13182.04087564441
126.0,11844.67308806337,11797.859722860332,11809.826048157343,11798.038608623532,11845.285033200958,13185.67008804025,13258.354374611697,13260.889192544362,13185.781763641491
127.0,11844.597643424897,11797.501970263691,11809.455646164348,11797.662612045933,11845.165521057708,13189.234625933128,13258.253044673635,13260.688157123719,13189.218986542142
128.0,11844.792885806422,11797.01723229244,11808.792877158168,11797.127871543324,11845.258186468094,13192.387226387196,13257.043013747774,13259.375843360576,13192.351473893199
129.0,11844.7134749143,11796.68468904852,11808.392869334974,11796.746628574463,11845.12163638098,13195.221618270614,13257.031490486635,13259.135311588168,13195.207824326375
130.0,11844.594290906418,11796.32176366583,11807.987907657069,11796.334822613047,11844.949639825876,13198.067118949493,13256.699418748227,13258.652797146606,13198.104625696824
131.0,11844.467390344113,11795.91948525772,11807.54945467753,11795.909543920294,11844.765794974453,13200.631329193346,13256.068038207784,13257.886510944998,13200.767356523083
132.0,11844.389971716791,11795.483763263805,11807.045779181488,11795.469399969626,11844.635012313563,13203.142515137499,13255.20023860391,13256.863033014171,13203.25370767571
133.0,11844.381408398605,11795.053325656363,11806.509715447753,11795.02223706842,11844.56081089829,13205.48508586368,13254.178900593353,13255.644802006675,13205.609850096673
134.0,11844.417727344815,11794.560335710465,11805.858175932355,11794.514530205332,11844.563677033944,13207.799586457453,13252.755795508168,13254.112654302939,13207.912030406387
135.0,11844.490411855879,11794.120560013773,11805.269915950988,11794.068517017005,11844.624074590873,13209.88782903526,13251.790691644012,13252.961497981592,13209.992694559553
136.0,11844.594710662417,11793.613625587832,11804.568935056095,11793.56113674494,11844.70275253346,13212.029337297725,13250.206816873342,13251.246965387136,13212.140860838494
137.0,11844.704604384955,11793.22127868322,11804.011147130264,11793.148224728893,11844.785232522987,13213.933880698713,13249.32507378745,13250.17587292253,13214.056100018843
138.0,11844.986347389524,11792.760288348312,11803.27806189123,11792.667052539506,11845.046705554552,13215.86808219814,13247.667681035678,13248.406867354926,13215.970873036116
139.0,11845.09523546563,11792.425559763215,11802.780885548469,11792.313948149453,11845.131130258655,13217.55310798332,13246.738223482054,13247.316970144828,13217.696782186576
140.0,11845.162687964399,11792.055513572777,11802.26296438856,11791.92954652647,11845.164360581679,13219.1304737837,13245.450901051525,13245.91899536228,13219.411889011611
141.0,11845.254449334298,11791.622851228298,11801.666508005255,11791.501703918362,11845.22993400203,13220.516299283936,13243.539674953514,13243.925364765746,13220.835034332558
142.0,11845.347035181048,11791.279804773587,11801.162186722173,11791.139848154844,11845.308882372665,13221.76481086118,13242.275471563138,13242.532700990876,13222.120164319682
143.0,11845.484820077207,11790.780434308585,11800.41954835058,11790.6638152418,11845.456793935171,13222.865725339769,13240.18128049243,13240.37412854877,13223.195878418945
144.0,11845.571171934516,11790.460632818002,11799.947696359399,11790.330791833076,11845.531569983526,13223.855403317433,13238.992336556634,13239.0687681873,13224.216638677328
145.0,11845.618432712343,11790.122449565568,11799.448600447307,11789.987457248551,11845.559749375658,13224.89652022135,13237.488463412508,13237.463915734417,13225.332680979644
146.0,11845.681410939298,11789.783281412596,11798.950031017865,11789.644211937919,11845.614002145225,13225.818773920275,13235.893507018804,13235.803440168176,13226.30139116057
147.0,11845.773088549424,11789.443170284585,11798.437473125196,11789.298527919736,11845.686015355044,13226.691432963487,13234.303233469753,13234.148840777543,13227.178897060832
148.0,11845.878879974192,11789.11714965452,11797.942719200022,11788.968102424693,11845.781058950754,13227.486600407778,13232.743210997487,13232.522521884235,13228.027765061202
149.0,11846.015501197795,11788.813788723233,11797.458712849035,11788.658834098987,11845.896138560933,13228.273580104897,13231.22816195867,13230.943194680172,13228.806272550719
150.0,11846.289645622332,11788.472191919456,11796.841943976771,11788.316705015792,11846.18137661906,13229.064198873402,13229.678516733176,13229.336174548018,13229.509581862629
151.0,11846.39129807532,11788.237631895725,11796.463720605578,11788.071569708998,11846.2847076303,13229.71587079572,13228.412130525885,13228.011602196573,13230.195677413394
152.0,11846.461910467906,11787.996568322427,11796.094091337818,11787.831029389828,11846.345871654688,13230.314982942986,13227.032919796493,13226.605762042467,13230.83485205651
153.0,11846.517112984633,11787.763587345577,11795.741480800032,11787.601436521909,11846.396857318003,13230.77694993106,13225.57958851783,13225.134870542184,13231.326536869186
154.0,11846.572307157876,11787.537031140506,11795.401221468028,11787.383329714172,11846.43718608357,13231.139951354991,13224.128727051782,13223.65580196688,13231.741287522393
155.0,11846.625266392068,11787.306875880742,11795.046121203359,11787.15520545789,11846.491191839672,13231.43438733606,13222.672769751487,13222.181677841974,13232.068496777489
156.0,11846.68669152086,11787.0838184434,11794.697809006,11786.93597825018,11846.553957301792,13231.708122752329,13221.272739632252,13220.770769597992,13232.366964195877
157.0,11846.743492742942,11786.862612931576,11794.350103708508,11786.71801894141,11846.617535490124,13231.997293741786,13219.936498486833,13219.428373564613,13232.659888852319
158.0,11846.81304147621,11786.65986663265,11794.018210268341,11786.528692334168,11846.698366728062,13232.293888988243,13218.717879576725,13218.1870580859,13232.938034925512
159.0,11846.886224611717,11786.480371598682,11793.71867586803,11786.351713765935,11846.773924428384,13232.57081203664,13217.582494817012,13217.036505041488,13233.23008736485
160.0,11846.966194894309,11786.327479532596,11793.452015652068,11786.196726642904,11846.863218106446,13232.869968367027,13216.5117439518,13215.969300137065,13233.509095002539
161.0,11847.044412488216,11786.19385890821,11793.2227439956,11786.073857730955,11846.948982593429,13233.15937855175,13215.53116917212,13214.96105680841,13233.777400539955
162.0,11847.113958849388,11786.087488573266,11793.03648444129,11785.969536973047,11847.024264740085,13233.383165898911,13214.670798736282,13214.083135874382,13234.006297114363
163.0,11847.287267599515,11786.02868126619,11792.856054891101,11785.912418342454,11847.209268862436,13233.639074853183,13213.811903465048,13213.238123626083,13234.276852875068
164.0,11847.373496491156,11785.959681725988,11792.709232579156,11785.846600109935,11847.300123999066,13233.83358358897,13213.013674692751,13212.438937228972,13234.471469261374
165.0,11847.404494142327,11785.881376961423,11792.570971631721,11785.773345777638,11847.34332264428,13233.952339973737,13211.943170437735,13211.390722293681,13234.587393357733
166.0,11847.447243673087,11785.820399638207,11792.458524747582,11785.718798604052,11847.394452759088,13234.00154360295,13211.106871953212,13210.56530457535,13234.624851771223
167.0,11847.44773903994,11785.727862984866,11792.313667884478,11785.634603282604,11847.385742381663,13234.001063825683,13210.092695157866,13209.56131158657,13234.597967766951
168.0,11847.44262976772,11785.660121560213,11792.207370899294,11785.57125793479,11847.384200324599,13233.95302042588,13209.257249443754,13208.735553352515,13234.519129683391
169.0,11847.421526447588,11785.568520370485,11792.06660140831,11785.488657480795,11847.361004303199,13233.911544519808,13208.374751705236,13207.874191160783,13234.450423103752
