"Velocity: Magnitude (m/s)","X (m)","Y (m)","Z (m)"
1.27461015729289,300,300,30
1.06832153590208,300,400,30
0.994704879992941,300,500,30
1.08124782335112,300,100,30
1.27639830317832,300,200,30
