name,table,rotor_rpm,x,y,z,nx,ny,nz,rotor_radius,hub_radius,rotor_thick
row-1_turbine-1,Mezzanine,5.36462,188.665,100.662,30.7826,1,0,0,12.5,0,2
row-1_turbine-2,Mezzanine,5.35621,188.995,175.692,30.3401,1,0,0,12.5,0,2
row-1_turbine-3,Mezzanine,5.35715,188.419,251.696,30.9738,1,0,0,12.5,0,2
row-1_turbine-4,Mezzanine,5.35621,189.125,325.299,30.5395,1,0,0,12.5,0,2
row-1_turbine-5,Mezzanine,5.36462,189.225,400.741,30.7276,1,0,0,12.5,0,2
row-2_turbine-1,Mezzanine,5.55761,375.562,138.455,31.6563,1,0,0,12.5,0,2
row-2_turbine-2,Mezzanine,5.5531,376.05,213.516,31.0618,1,0,0,12.5,0,2
row-2_turbine-3,Mezzanine,5.55309,376.21,288.358,31.1881,1,0,0,12.5,0,2
row-2_turbine-4,Mezzanine,5.55762,376.29,364.136,31.0443,1,0,0,12.5,0,2
